idx,root,cc_mean,cc_std
0,39822,0.1932812946092382,0.3154192750616451
1,26867,0.22556515741646183,0.3296587122904132
2,2026,0.16772613858800725,0.30907246913552694
3,35630,0.18793560040983148,0.31003648737465794
4,21065,0.19394235282932265,0.3069591330350207
5,7986,0.15897910849639166,0.31403257815443153
6,1874,0.1624197456232937,0.2855572270879008
7,22329,0.21211889233547113,0.28300002114835826
8,17830,0.19575233506107845,0.31679635612598794
9,13220,0.19994144485268264,0.310034974004912
10,3214,0.21274056242945366,0.3443432851441739
11,20923,0.17194050020995763,0.30048058740843675
12,40858,0.1937486613767095,0.33121740724710613
13,28309,0.15992601680873791,0.27318417861081573
14,15824,0.1542944025195031,0.2881853055407091
15,11259,0.23095050809650455,0.3365233253876115
16,33309,0.16539039700564104,0.29653846282018753
17,18694,0.16594653692673147,0.2990421381979555
18,31158,0.21378617380774734,0.29111010093752937
19,29965,0.1655907627816712,0.27938001774138155
20,24962,0.22347067375997529,0.34192089647280316
21,29263,0.19133394093742015,0.2737938509825402
22,37768,0.23808747507443945,0.34124650206320195
23,18891,0.19150957507410862,0.3238892399236084
24,31475,0.18602301910346233,0.315712712195375
25,17329,0.1856005830194656,0.3215146355724434
26,36222,0.1813486836509734,0.30418803044714904
27,32651,0.17660684423309353,0.3150734059955059
28,22836,0.15829140726186408,0.28259424343428297
29,5387,0.18833326124475752,0.31204563765599225
30,2139,0.15548166815917286,0.29416575393509103
31,17187,0.16821547225629177,0.29355857915224415
32,29086,0.1748620398085157,0.298980784032812
33,35032,0.22743768055286137,0.340727671058554
34,28423,0.19823971942489282,0.3169034950156547
35,39745,0.1558642122216163,0.28695039006356793
36,1011,0.18025084845311842,0.2627572743624588
37,35003,0.1871318481994573,0.3108458190050965
38,7716,0.1799539077112399,0.2936195939341294
39,25225,0.20190764452324708,0.3088681587062252
40,28368,0.17177941010307304,0.29306237498106336
41,13425,0.17319074526744016,0.2799032679993664
42,24514,0.20023155671825338,0.31956465550156216
43,2268,0.18676914464072433,0.32312390305274263
44,7185,0.1610327718741127,0.2900127581629224
45,11777,0.1715699239241582,0.30471388368144564
46,28077,0.14504333678789294,0.2857347048895776
47,3645,0.1583414350982273,0.30453953524290117
48,10613,0.18406056904421036,0.3164816377816105
49,20929,0.1927377680729383,0.3251393719396096
50,2997,0.14049316318286628,0.2871191974751413
51,22339,0.1964049871498026,0.3291040677096849
52,40408,0.2091318987203024,0.3165356492806328
53,23398,0.19023740341568737,0.32056078778409114
54,35949,0.18917054308138243,0.304591978304641
55,7576,0.17513425126260307,0.3008829341227879
56,35619,0.22458943698296469,0.32632157523590327
57,15171,0.20606394396020689,0.3272709147358955
58,16622,0.20759012607435692,0.32716867965528307
59,7703,0.2371476995606273,0.32354239176636157
60,25397,0.1684444513018468,0.2902387339247901
61,860,0.18117337358005295,0.2866354470780595
62,6553,0.15883575666898903,0.29962754371679456
63,14944,0.19781251081965864,0.3075420819552898
64,28278,0.17018040981920865,0.2962306377899461
65,5467,0.17152095836409578,0.29853243553119063
66,34086,0.16866044512067654,0.2929784668685825
67,19606,0.18480274215036901,0.3136128954940289
68,33413,0.14493527818559,0.2787005484354314
69,9718,0.2275454135748029,0.3281439489942915
70,14851,0.2261041875187695,0.35112329537609505
71,27216,0.1975809397868128,0.33423022678363096
72,3477,0.2038080444586837,0.3464641410331815
73,27344,0.1560861131107676,0.2950476336330277
74,10658,0.19780172720673436,0.3266688379847813
75,22587,0.18497464662724136,0.31657066581339555
76,34627,0.19079793188338345,0.3086655755557856
77,25384,0.2137606457800229,0.33659155194470697
78,32445,0.12366213561828776,0.26517591019570064
79,13561,0.184941024865397,0.2984238070311794
80,33727,0.1644465649953259,0.3032429751522903
81,3195,0.18580549849348058,0.27541240760715846
82,26140,0.23334823439974814,0.2725761270211065
83,27920,0.2217855620988741,0.309354664926215
84,17214,0.17548962291009582,0.3142051204126371
85,24586,0.13738057494836894,0.27810454826898445
86,13119,0.1884898240827005,0.30346435235502256
87,7305,0.17578195999614707,0.30050425932329367
88,34630,0.1487375965741226,0.29204959961324867
89,28297,0.174878061698677,0.2953642908201426
90,13606,0.1606511496143279,0.2917754558304452
91,14688,0.19232855096826534,0.31213923910583097
92,2815,0.20747935424721808,0.28490791441405117
93,32624,0.14712138063586253,0.27264036349486764
94,36283,0.1764411985241603,0.3259041506683342
95,13352,0.18898800454975914,0.30884036745659965
96,21760,0.18827025434400954,0.3176842757037121
97,22104,0.16230595161231373,0.27441576424140063
98,20814,0.18574689404456224,0.28232727604086205
99,13910,0.14384567095982195,0.28038701443758274
100,39811,0.14760993739101358,0.29444278666706325
101,13986,0.1809580969084807,0.3166441205234887
102,13993,0.19533070129698182,0.33473885881540416
103,2763,0.19101351097850056,0.2661377675975796
104,11735,0.1659197520187202,0.29864073579352374
105,34462,0.21843315507189415,0.3111308559547381
106,16521,0.19876677490971428,0.3082465076868856
107,21895,0.1802882642286188,0.319010144113749
108,37773,0.15222397703998372,0.25861241527054807
109,10779,0.2317048431976209,0.2776263056914643
110,18446,0.19802330528108253,0.31808733977928744
111,13665,0.22751137381292177,0.33964837327997754
112,25350,0.14652727703471094,0.27666444921673117
113,28165,0.1865650156665219,0.32516102629213534
114,24823,0.17335045529918008,0.29750541120513113
115,11611,0.21259606210225113,0.31965149388630026
116,5911,0.1552882549938322,0.29688669767691045
117,1754,0.18288635660078362,0.3231692917394777
118,19736,0.1998427884531985,0.30397276546517327
119,35910,0.21879798801216832,0.34503711964351635
120,27859,0.20514541925289312,0.3350507856103928
121,35603,0.18275976631521917,0.31393304897457835
122,2595,0.1616766159621485,0.27752850641010907
123,9626,0.15677910835582015,0.2734700172287268
124,36140,0.14440229005495886,0.28753907586159294
125,16225,0.22327195190915813,0.33982933413549987
126,37710,0.22586291532613081,0.3313650263165856
127,38900,0.1884802023741876,0.28732843806967584
128,34214,0.20724951743636036,0.29753480828811824
129,28277,0.17545831684772475,0.30965748279580113
130,8980,0.192621442068872,0.31031425086123243
131,15045,0.17928294956748417,0.31279585465777643
132,11054,0.18623417893602565,0.3191543834440882
133,31352,0.1908517098345718,0.3058222676494367
134,25414,0.16766567367460017,0.28519057827393973
135,15546,0.25336465261124574,0.3471679119495958
136,912,0.20688182366261343,0.3501551152223495
137,22105,0.16898725185111677,0.3061247934459959
138,8736,0.16796425404071214,0.2995645449988153
139,21091,0.1255859184190404,0.275112483851924
140,6926,0.1677964384891244,0.29278179872496235
141,22582,0.21700355400308796,0.31880159108963646
142,26173,0.21506110381015525,0.32767094044671463
143,21105,0.179278619527882,0.3021444543909086
144,16156,0.16254876290704465,0.2704181665439083
145,23302,0.2238643307834588,0.34644274520961377
146,15294,0.188080741651901,0.31684047902740914
147,6108,0.21346219919466256,0.2981162067671233
148,29205,0.17073927734003438,0.2972264513208894
149,19075,0.18839045608281782,0.3058101460414946
150,12649,0.1848378114240163,0.3218102208543989
151,19179,0.20485509907788407,0.32295646627338165
152,10008,0.1704011601035752,0.296607600483201
153,10122,0.15638942747789483,0.25155033012790556
154,4778,0.17274614859755796,0.30554333166035474
155,30376,0.17608112012982674,0.2803218965566051
156,38966,0.142043629030012,0.28457010599074195
157,33322,0.20347618445636342,0.3157265169386252
158,38283,0.18873514817004697,0.30241112521865265
159,41156,0.1651080638080366,0.29875301916170605
160,31241,0.19627185908422248,0.32378880177419805
161,28029,0.18154634210703685,0.2779494724084714
162,31738,0.19025425483718703,0.26158033695026794
163,38968,0.16932540136849275,0.3097107582484823
164,3266,0.16974660867693292,0.2971793513364103
165,27813,0.17852539361872288,0.3164524899151007
166,10651,0.19060005753043874,0.31187117844748924
167,15573,0.16638411979970608,0.29214841787632334
168,20841,0.17208474819231798,0.309729700371894
169,6859,0.21425139751035469,0.3156858405567735
170,22656,0.13413247342700402,0.27895843413147625
171,19503,0.15702847304896528,0.27186226778836214
172,30788,0.20141917356874905,0.31192118850660144
173,334,0.16679624313460023,0.304732314273555
174,41738,0.19117022752481705,0.31997805031411125
175,3592,0.16688324124666049,0.29335979549621594
176,39344,0.17643211433536898,0.31617183085032935
177,16399,0.17281725645945034,0.27734365987603576
178,22814,0.16081749237127196,0.3068963514372347
179,33549,0.14222244995866318,0.2793391653024245
180,31044,0.21396138946395132,0.33330251917571246
181,34425,0.19152193136471196,0.30885811138659797
182,35341,0.1911206138165032,0.3119501688921702
183,189,0.17392045866461214,0.2796729147741277
184,10644,0.20476400732840075,0.31113110875313577
185,18767,0.1715305632451001,0.3004891812230242
186,33777,0.1887826108211936,0.33410057806752647
187,34215,0.16836710808387012,0.30545456006634847
188,10980,0.15435528533764176,0.3071641991517544
189,18509,0.1777979156857845,0.31370839003002593
190,37418,0.17787798507148092,0.29553053808915025
191,22620,0.1661546243141442,0.3062892038885545
